"Date","Price","Open","High","Low","Vol.","Change %"
"01/05/2020","48.50","48.90","49.00","48.50","315.69K","-1.72%"
"01/02/2020","49.35","49.35","49.75","49.00","590.66K","0.00%"
"01/01/2020","49.35","50.00","50.00","49.30","232.27K","-0.30%"
"12/31/2019","49.50","50.10","50.10","49.40","460.22K","-1.20%"
"12/30/2019","50.10","50.70","50.70","49.65","776.59K","-1.18%"
"12/29/2019","50.70","50.50","50.80","50.10","276.36K","0.60%"
"12/26/2019","50.40","50.30","50.40","49.90","143.99K","0.20%"
"12/25/2019","50.30","50.50","50.50","49.80","267.96K","-0.20%"
"12/24/2019","50.40","50.70","50.70","50.20","292.95K","-0.20%"
"12/23/2019","50.50","50.50","50.70","50.30","377.80K","0.20%"
"12/22/2019","50.40","50.90","50.90","50.30","165.18K","-0.98%"
"12/19/2019","50.90","49.60","50.90","49.45","631.90K","3.35%"
"12/18/2019","49.25","49.20","49.70","49.05","361.21K","-0.51%"
"12/17/2019","49.50","49.00","49.50","48.70","466.75K","1.64%"
"12/16/2019","48.70","48.40","49.50","48.30","370.45K","0.72%"
"12/15/2019","48.35","48.90","48.95","48.00","352.10K","-0.10%"
"12/12/2019","48.40","49.45","49.45","48.40","278.00K","-1.83%"
"12/11/2019","49.30","49.10","49.55","49.10","292.57K","0.20%"
"12/10/2019","49.20","49.70","49.85","49.20","205.54K","-1.60%"
"12/09/2019","50.00","50.10","51.10","49.90","550.32K","0.10%"
"12/08/2019","49.95","48.05","50.00","48.05","313.13K","3.95%"
"12/05/2019","48.05","48.30","48.45","48.05","141.39K","-0.31%"
"12/04/2019","48.20","49.50","49.50","48.00","360.29K","-2.33%"
"12/03/2019","49.35","49.55","49.95","48.60","335.54K","-0.40%"
"12/02/2019","49.55","49.60","49.60","49.15","293.70K","0.10%"
"12/01/2019","49.50","49.25","49.60","48.90","171.75K","0.51%"
"11/28/2019","49.25","49.95","49.95","49.00","245.72K","-1.20%"
"11/27/2019","49.85","50.00","50.00","49.20","292.62K","-0.30%"
